date_str,Margin (%),Matched Cycles,Total Vol,Total Profit
2025-12-01,-4.14,12,9.46,-0.3917
2025-12-02,25.68,31,29.5,7.575
2025-12-03,4.52,28,20.44,0.9237
2025-12-04,-0.17,38,33.71,-0.0567
2025-12-05,-0.79,30,21.87,-0.1737
2025-12-06,6.74,49,39.37,2.6552
2025-12-07,7.27,26,20.64,1.5001
2025-12-08,2.4,28,22.55,0.5416
2025-12-09,5.8,45,37.65,2.1848
2025-12-10,6.84,36,32.02,2.1899
2025-12-11,1.52,40,32.6,0.4948
2025-12-12,4.63,31,23.39,1.0827
2025-12-13,7.53,24,19.33,1.4564
2025-12-14,4.15,37,33.91,1.4064
2025-12-15,0.07,27,20.79,0.0136
2025-12-16,11.55,24,17.07,1.9723
2025-12-17,9.1,30,21.2,1.929
2025-12-18,8.52,26,18.78,1.6007
2025-12-19,4.69,31,24.2,1.1358
2025-12-20,24.82,22,19.56,4.8556
2025-12-21,-4.17,29,23.57,-0.983
2025-12-22,2.96,25,17.87,0.5281
2025-12-23,4.39,33,27.48,1.2071
2025-12-24,9.18,29,21.85,2.0045
2025-12-25,17.28,20,18.01,3.1127
2025-12-26,-0.54,33,27.53,-0.1485
2025-12-27,-0.16,25,19.2,-0.0302
2025-12-28,4.89,28,20.43,0.999
2025-12-29,-1.0,38,29.4,-0.2955
2025-12-30,29.68,33,24.77,7.3516
2025-12-31,10.39,17,13.47,1.4
2026-01-01,0.82,19,18.0,0.1471
2026-01-02,13.94,26,26.28,3.6642
2026-01-03,0.88,19,15.82,0.1389
2026-01-04,-4.6,19,14.33,-0.6598
2026-01-05,-0.73,22,18.74,-0.1376
2026-01-06,26.24,47,49.82,13.0746
2026-01-07,7.85,44,40.72,3.1945
2026-01-08,19.02,26,24.16,4.596
2026-01-09,11.14,25,22.19,2.4707
2026-01-10,-3.87,17,17.07,-0.6603
2026-01-11,5.21,39,36.91,1.9236
2026-01-12,-1.79,45,42.81,-0.7658
2026-01-13,1.58,39,38.93,0.6145
2026-01-14,-0.67,32,32.8,-0.2195
2026-01-15,5.97,44,42.86,2.5568
