date_str,Margin (%),Matched Cycles,Total Vol,Total Profit
2025-12-01,2.57,62,57.34,1.4755
2025-12-02,5.58,188,165.34,9.2244
2025-12-03,4.1,168,141.74,5.8161
2025-12-04,0.11,229,193.64,0.2188
2025-12-05,4.44,224,183.51,8.1486
2025-12-06,6.77,186,148.36,10.0503
2025-12-07,4.4,195,164.14,7.2151
2025-12-08,6.11,187,153.76,9.3974
2025-12-09,3.41,218,187.83,6.4041
2025-12-10,5.92,232,196.54,11.643
2025-12-11,2.3,220,182.8,4.2032
2025-12-12,3.93,237,193.38,7.6008
2025-12-13,1.63,154,125.47,2.0468
2025-12-14,4.05,153,133.79,5.4248
2025-12-15,1.35,177,141.23,1.9078
2025-12-16,3.9,164,132.16,5.1598
2025-12-17,5.86,148,111.59,6.5406
2025-12-18,1.97,160,126.83,2.5026
2025-12-19,2.02,180,139.71,2.8181
2025-12-20,16.15,175,147.92,23.8887
2025-12-21,1.4,175,141.0,1.976
2025-12-22,5.77,153,122.28,7.0514
2025-12-23,3.93,165,135.67,5.3311
2025-12-24,5.67,179,144.27,8.1866
2025-12-25,2.71,147,133.02,3.6027
2025-12-26,0.99,208,169.0,1.6768
2025-12-27,8.33,130,108.42,9.0268
2025-12-28,6.04,176,150.72,9.0994
2025-12-29,3.0,221,189.17,5.6796
2025-12-30,10.45,164,136.36,14.2508
2025-12-31,8.45,148,130.58,11.0319
2026-01-01,3.45,148,145.63,5.0242
2026-01-02,3.33,153,141.12,4.6923
2026-01-03,-0.29,118,108.28,-0.3164
2026-01-04,-0.41,104,85.01,-0.3515
2026-01-05,0.06,131,129.81,0.0726
2026-01-06,9.59,245,262.29,25.1652
2026-01-07,10.77,211,200.45,21.5877
2026-01-08,3.89,186,176.27,6.8553
2026-01-09,6.69,165,157.61,10.546
2026-01-10,6.67,97,95.37,6.3637
2026-01-11,3.25,222,224.52,7.3042
2026-01-12,3.63,215,201.42,7.3094
2026-01-13,7.74,206,208.82,16.1541
2026-01-14,3.12,178,165.75,5.1686
2026-01-15,1.41,187,201.28,2.8375
