date_str,Margin (%),Matched Cycles,Total Vol,Total Profit
2025-12-01,9.13,25,21.79,1.99
2025-12-02,0.92,86,75.03,0.6932
2025-12-03,5.86,85,76.17,4.4633
2025-12-04,5.34,102,86.03,4.591
2025-12-05,3.56,96,75.83,2.6998
2025-12-06,13.01,87,73.58,9.5745
2025-12-07,9.17,85,71.31,6.5387
2025-12-08,1.31,67,50.51,0.6595
2025-12-09,4.85,111,94.94,4.6072
2025-12-10,7.22,110,95.44,6.889
2025-12-11,2.14,100,86.76,1.8533
2025-12-12,3.85,85,70.16,2.7037
2025-12-13,6.46,74,61.62,3.9819
2025-12-14,4.53,63,53.29,2.4126
2025-12-15,-0.38,76,64.77,-0.2469
2025-12-16,3.75,55,37.15,1.3926
2025-12-17,8.15,71,52.96,4.3162
2025-12-18,-0.58,71,55.94,-0.3237
2025-12-19,4.24,86,63.54,2.6943
2025-12-20,7.49,84,70.65,5.2938
2025-12-21,2.4,77,60.86,1.4594
2025-12-22,0.0,68,55.67,0.0005
2025-12-23,3.23,86,71.82,2.3224
2025-12-24,6.19,90,80.99,5.0161
2025-12-25,8.37,59,56.66,4.742
2025-12-26,-1.79,91,71.41,-1.2782
2025-12-27,5.39,58,44.94,2.4221
2025-12-28,1.95,77,66.29,1.2925
2025-12-29,3.59,98,84.01,3.0149
2025-12-30,16.26,78,71.23,11.581
2025-12-31,4.42,63,54.48,2.4056
2026-01-01,6.38,53,50.42,3.2166
2026-01-02,9.34,60,57.75,5.3926
2026-01-03,-1.9,49,44.45,-0.8441
2026-01-04,0.35,48,38.8,0.1354
2026-01-05,0.44,68,66.14,0.2926
2026-01-06,5.54,100,111.05,6.1538
2026-01-07,10.14,85,81.79,8.2922
2026-01-08,3.06,96,93.52,2.8572
2026-01-09,11.22,75,69.45,7.7914
2026-01-10,13.36,47,46.96,6.2734
2026-01-11,11.5,90,96.55,11.1034
2026-01-12,2.09,90,85.22,1.7776
2026-01-13,6.27,105,109.92,6.8886
2026-01-14,1.79,76,74.25,1.3261
2026-01-15,-1.2,81,81.42,-0.9751
