date_str,Margin (%),Matched Cycles,Total Vol,Total Profit
2025-12-01,-10.11,5,3.98,-0.4021
2025-12-02,51.96,18,13.59,7.0601
2025-12-03,9.37,22,14.7,1.3772
2025-12-04,-2.29,15,11.25,-0.2571
2025-12-05,-2.03,20,14.6,-0.2961
2025-12-06,30.62,17,15.62,4.7825
2025-12-07,12.37,17,15.42,1.908
2025-12-08,-4.31,11,8.25,-0.3562
2025-12-09,6.97,22,18.91,1.3178
2025-12-10,13.13,18,13.98,1.8366
2025-12-11,7.47,21,16.59,1.239
2025-12-12,-5.36,17,11.38,-0.6099
2025-12-13,25.91,10,6.43,1.665
2025-12-14,7.04,17,13.55,0.9548
2025-12-15,8.67,16,10.98,0.9523
2025-12-16,-8.33,11,7.87,-0.6559
2025-12-17,12.4,12,7.51,0.9312
2025-12-18,1.32,12,7.28,0.0962
2025-12-19,1.81,18,14.37,0.2597
2025-12-20,64.34,8,4.87,3.1353
2025-12-21,2.22,23,20.52,0.455
2025-12-22,1.67,4,3.33,0.0556
2025-12-23,21.47,15,12.82,2.7527
2025-12-24,2.78,19,12.36,0.3439
2025-12-25,8.34,16,13.22,1.1033
2025-12-26,-7.65,26,18.31,-1.4015
2025-12-27,8.53,13,10.17,0.8679
2025-12-28,3.41,14,10.47,0.3573
2025-12-29,-3.2,29,21.45,-0.686
2025-12-30,1.16,16,9.87,0.1144
2025-12-31,10.67,14,11.72,1.2504
2026-01-01,7.46,12,8.93,0.6657
2026-01-02,8.67,13,11.96,1.0371
2026-01-03,4.8,9,7.39,0.3542
2026-01-04,-0.55,12,7.91,-0.0432
2026-01-05,-2.66,14,12.24,-0.3258
2026-01-06,45.07,25,27.5,12.3974
2026-01-07,18.33,26,21.88,4.0104
2026-01-08,14.56,15,13.2,1.9223
2026-01-09,-16.33,12,12.11,-1.9772
2026-01-10,6.27,5,3.77,0.2367
2026-01-11,6.39,39,36.09,2.3072
2026-01-12,0.01,25,22.08,0.0014
2026-01-13,2.16,19,18.05,0.3896
2026-01-14,12.12,19,18.94,2.2966
2026-01-15,3.08,22,20.63,0.6348
